ambient_temp,humidity,speed_kmh,distance_km_since_depot,days_since_maintenance,axle_load_tons,brake_usage_pct,vibration_rms,bearing_temp,error_count_24h,curve_ratio,temperature_diff,stress_index,train_line,shift,environment_mode,failure_within_30d
18.717780679016776,40.57194509016392,283.24897099548514,426.58353209218404,155.63732662394864,22.824368988038195,24.219646550162683,0.5589163644784838,66.67526694797387,3,0.02175615004938658,47.95748626895709,0.9186413429762398,ICE1,day,normal,1
34.77157752715628,73.32553100170207,286.24969371888994,40.49351086802354,8.69141315071225,16.921168266668342,32.19628542378293,0.2828122592805123,67.00793043675098,0,0.062302962558903746,32.2363529095947,0.3730390227638282,ICE1,day,normal,0
25.22920055674622,55.212086562808885,147.8126424675452,51.95733715085106,105.52138625865281,17.74205468747974,29.80656037093958,0.39258870847223926,69.9003320648267,0,0.0792164992855826,44.67113150808048,0.5373884423473141,ICE1,day,normal,0
20.111844549506618,57.32768536606771,158.15001018347868,1791.0123921984195,116.29673906105586,19.766865501021947,44.43892893535402,0.1808927904708753,61.7650639532255,2,0.21222512359673296,41.65321940371888,0.591263735373242,ICE1,day,cold,0
20.624473850363003,32.21373672153527,201.02030285027095,1027.3895143475368,106.4508003150375,16.128908985575226,25.663046680178308,0.6787567211479215,49.3682992599451,4,0.07337739946117597,28.743825409582094,0.6105754379365869,ICE4,night,normal,1
28.627230478298756,67.74583207727716,271.9844290964838,179.47903154188495,22.09273526398188,17.78265012264995,68.03800304162776,0.15484441704077623,59.577359488229845,1,0.16988197732441015,30.95012900993109,0.3806802313992748,ICE3,night,wet,0
21.902924319390642,62.44217249047147,317.9156232216057,471.25449502730686,43.53832565008723,15.505096857544052,11.110021705733192,0.8018924348203704,64.93030798121883,1,0.11850811591921258,43.02738366182819,0.535922368299185,ICE4,day,hot,0
41.280073191669686,66.60945901475279,191.24324675040194,2176.703543488431,19.75405445900686,20.329484494867597,21.605041465789668,0.25959746268761996,81.39828137432697,1,0.34297183478506327,40.118208182657284,0.5996074166265306,ICE1,night,cold,0
27.7982907042216,65.42651497841257,204.33744943232648,270.7573188557635,37.66808489618076,16.883269378473464,31.430976181862043,0.4989323410445703,72.97360588130397,1,0.13443450292761144,45.17531517708237,0.5211699087046239,ICE3,day,cold,0
36.79131594736944,51.123440133052085,266.177384604454,603.9224278336342,93.07194020016861,13.513903577469703,63.73357825563157,0.4554408159257325,74.00332221104658,1,0.07783690108439514,37.21200626367714,0.4265672394087659,ICE4,day,wet,0
18.900325793804925,61.87887212522527,183.57934590932848,609.6336783081001,40.78685337968383,17.73946572584696,17.41905871465391,0.6231111557158218,66.4906041966418,1,0.07908716284367491,47.59027840283687,0.5716099864741286,ICE1,day,wet,0
19.93405620353419,65.01397525396087,209.12526664576396,360.2023106978588,81.80526607049755,16.379602735915103,39.887538093892886,0.24929759264800586,57.16080540256889,1,0.25436160970733274,37.2267491990347,0.39806218877983385,ICE3,night,hot,0
